class,area,majoraxislength,minoraxislength,eccentricity,convexarea,extent,perimeter
Kecimen,57127,311.6445775,238.6419206,0.643138024,59943,0.693625546,952.023
Kecimen,53006,333.3813698,206.8807081,0.784164747,55456,0.691695375,936.371
Kecimen,69060,328.4888612,275.8888648,0.542783247,72223,0.727023897,1039.551
Kecimen,25387,225.629541,144.618672,0.767577386,26139,0.678144032,619.074
Kecimen,66774,348.5579747,246.4762569,0.707082253,69097,0.692446491,1003.374
Kecimen,47839,312.6013291,198.7512989,0.771855496,50166,0.702770596,868.06
Kecimen,78571,443.8222908,228.7576146,0.856934002,81718,0.642192762,1157.33
Kecimen,64717,342.5767105,245.7320369,0.696759162,66649,0.66254095,997.989
Kecimen,60462,373.3428463,208.1086262,0.830230914,62213,0.665683112,990.547
Kecimen,59370,345.9492049,221.9219567,0.767133811,61464,0.697485902,981.517
Kecimen,54056,332.2676409,208.6190158,0.778322762,55539,0.674553259,912.153
Kecimen,89235,443.5159353,258.9467393,0.811861615,91201,0.655190643,1179.694
Kecimen,51727,321.1271422,208.7667575,0.759843328,52913,0.751889645,903.308
Kecimen,71595,387.3096951,236.7511846,0.791421357,74045,0.718536732,1069.77
Kecimen,95347,451.5261542,280.2261534,0.784111496,99256,0.674956111,1255.245
Kecimen,60449,383.8002498,208.1687832,0.840127895,64346,0.67634488,1054.198
Kecimen,69006,379.3178462,241.8502909,0.77037364,72895,0.697453002,1086.857
Kecimen,68520,373.235638,237.0415232,0.772430874,70759,0.712858926,1049.093
Kecimen,52731,309.9772864,219.7253525,0.70536589,54438,0.695879962,894.48
Besni,137583,649.541485,273.2602815,0.907201118,142650,0.731637667,1590.354
Besni,117592,533.2928563,288.5583194,0.840966033,123587,0.730067672,1432.006
Besni,95546,487.1782819,251.960243,0.855874944,99166,0.722782014,1276.807
Besni,96582,446.7052035,278.325498,0.782171631,100113,0.706597603,1216.979
Besni,61409,403.7012948,209.3658885,0.855007371,67286,0.597392869,1083.477
Besni,154242,585.9280742,337.5992453,0.817323783,158371,0.7216,1530.315
Besni,134303,600.7662711,288.3849296,0.877252896,138133,0.74243622,1497.515
Besni,112378,528.4003254,272.7787203,0.856447002,115602,0.614705496,1366.74
Besni,124579,439.9605034,371.0262137,0.537416298,128307,0.698250157,1373.537
Besni,83107,507.3808994,233.1538498,0.8881652,93706,0.491002009,1367.331
Besni,107178,508.7478956,270.4624159,0.84698069,110611,0.632908552,1325.947
Besni,64391,449.5559014,187.1223778,0.909255569,68813,0.63426911,1177.714
Besni,126781,659.4426082,249.5447658,0.925634934,132802,0.73666198,1552.54
Besni,45051,323.5892546,180.0697373,0.830863512,46532,0.830632225,836.625
Besni,119026,612.7444115,250.9269903,0.912304144,123463,0.615745148,1486.769
Besni,67579,402.3102017,217.0587358,0.841965878,70809,0.70311297,1051.553
Besni,97019,559.5992129,228.6417533,0.912721946,101539,0.573452572,1383.647
Besni,184784,740.1087099,320.58783,0.901315524,192699,0.645353264,1791.568
Besni,168276,656.0993813,328.486879,0.865640348,174282,0.681538723,1685.283
Besni,195383,755.0129141,335.7904519,0.895655767,204472,0.728769116,1893.414
Besni,65253,418.9978869,205.7561847,0.871121605,69700,0.66625485,1075.404
Besni,120255,471.8135294,326.5463364,0.721793107,123486,0.723886976,1322.814
Besni,108161,485.1026458,286.0331908,0.807670301,111765,0.707906277,1305.144
Besni,157877,613.8737446,328.3133366,0.844964592,161901,0.641322804,1604.103
Besni,83800,440.8337404,245.3818805,0.830759616,86346,0.657162126,1170.091
Besni,177264,619.9584724,366.7632399,0.806236591,180994,0.683219376,1652.694
Besni,127245,530.3040552,309.1215157,0.812534049,130649,0.679096353,1423.997
Besni,108314,455.6058765,311.1711176,0.730434168,112497,0.686944665,1306.577
Besni,128947,572.8016018,289.0221686,0.863367048,132108,0.604408842,1446.923
Besni,189637,636.7524368,403.7193275,0.773309506,209580,0.613785469,1870.28
Besni,137508,604.1144233,292.0960638,0.875338198,141818,0.60152231,1529.79
Besni,75173,365.8032415,267.5827815,0.681848156,78359,0.67995405,1087.034
Besni,115859,488.4888558,305.090778,0.780976537,120546,0.742643053,1351.422
Besni,92188,374.7201638,324.3025616,0.500990716,95920,0.747599585,1190.813
Besni,153824,536.606993,369.2864544,0.725532478,159063,0.739083641,1582.146
Besni,85492,437.0139693,250.8926087,0.818780557,89018,0.723343769,1182.575
Besni,106312,464.3323636,295.3167921,0.771686556,111089,0.729683725,1306.455
Besni,210923,984.0454912,367.2795321,0.927737116,278217,0.507352075,2697.753
Besni,89138,507.1433962,226.2166152,0.895002832,93549,0.738386349,1262.578
Besni,83567,465.1014658,230.9042314,0.868059652,86859,0.609222133,1199.017
Besni,171256,531.3732054,412.3828168,0.630646744,174277,0.70191488,1559.214
Besni,77105,419.9536962,238.8394659,0.822525594,80497,0.668994838,1131.54
Besni,100443,457.5698723,283.6112797,0.784743459,104186,0.673788505,1269.066
Besni,72606,424.472024,223.232633,0.850542335,76975,0.683852617,1117.107
Besni,83555,457.5464724,235.0998706,0.857893642,86694,0.711227443,1159.779
Besni,146268,588.0092142,321.6079813,0.83716934,150416,0.695421481,1535.287
Besni,113608,559.2667826,264.028685,0.881546115,118098,0.627862764,1394.088
Besni,75058,424.7637094,228.8458259,0.842459099,78952,0.685461187,1130.395
Besni,116406,612.665318,251.8328267,0.911615194,125638,0.526259635,1480.951
Besni,100319,480.7789636,267.6688956,0.830686786,104255,0.639614136,1289.209
Besni,143386,469.2765081,397.3101898,0.532159522,146328,0.750260314,1422.014
Besni,164782,660.3641751,322.620924,0.872535895,169000,0.757757749,1654.986
Besni,71639,400.4139594,231.6201421,0.815716625,76252,0.642461908,1101.879
Besni,141220,575.6823646,316.6212427,0.835169296,144300,0.659151906,1507.939
Besni,88290,514.4361539,221.4448377,0.902609051,92317,0.555157323,1277.388
Besni,102569,515.3952494,259.1942281,0.864342392,106888,0.573241751,1331.797
Besni,182160,997.2919406,271.8723954,0.96212444,221527,0.379856115,2303.69
Besni,208264,675.0983445,395.5792906,0.810341407,212813,0.771748314,1755.167
Besni,133101,641.5097389,265.3139704,0.910468935,136793,0.582496357,1544.712
Besni,169009,719.5058781,301.5651259,0.907927113,174718,0.716926627,1781.378
Besni,81901,450.8275297,237.2089894,0.850383428,85000,0.583107877,1192.014
Besni,80678,457.9252352,229.7035618,0.865089207,85201,0.607359562,1226.244
Besni,101661,440.9818348,295.5307052,0.742211915,105429,0.713290393,1268.05
Besni,82207,451.0060488,235.1597735,0.853305321,84780,0.629437077,1182.274
Besni,166275,602.3077749,356.2362867,0.806340027,168292,0.719282081,1580.961
Besni,188651,621.0126864,390.3076128,0.777808102,192922,0.747156346,1698.394
Besni,202118,684.602958,379.7192817,0.832079617,209242,0.717218816,1827.9
Besni,97375,468.9040381,268.2670249,0.820173426,100169,0.694716941,1244.252
Besni,64303,442.7453136,187.0290194,0.906395428,67199,0.686235379,1081.68
Besni,86715,440.4743232,254.3360345,0.816451523,89920,0.735371438,1173.259
Besni,155702,655.3989662,304.6121493,0.885429547,160709,0.697046209,1626.909
Besni,84295,458.8440074,238.289021,0.854577011,88521,0.708450645,1202.583
Besni,177206,699.6182638,328.1121355,0.883204868,181412,0.739152923,1754.378
Besni,110897,518.7876139,275.2605054,0.847632242,115550,0.7304361,1365.577
Besni,56903,360.815292,204.037706,0.824754645,59797,0.718426867,980.39
