Id,SepalLengthCm,SepalWidthCm,PetalLengthCm,PetalWidthCm,Species
1,533.2928563,2.8,4.8,1.4,Iris-versicolor
1,487.1782819,3.0,5.0,1.7,Iris-versicolor
1,446.7052035,2.9,4.5,1.5,Iris-versicolor
1,403.7012948,2.6,3.5,1.0,Iris-versicolor
1,585.9280742,2.4,3.8,1.1,Iris-versicolor
1,600.7662711,2.4,3.7,1.0,Iris-versicolor
1,528.4003254,2.7,3.9,1.2,Iris-versicolor
1,439.9605034,2.7,5.1,1.6,Iris-versicolor
1,507.3808994,3.0,4.5,1.5,Iris-versicolor
1,508.7478956,3.4,4.5,1.6,Iris-versicolor
1,449.5559014,3.1,4.7,1.5,Iris-versicolor
1,659.4426082,2.3,4.4,1.3,Iris-versicolor
1,323.5892546,3.0,4.1,1.3,Iris-versicolor
1,612.7444115,2.5,4.0,1.3,Iris-versicolor
1,402.3102017,2.6,4.4,1.2,Iris-versicolor
1,559.5992129,3.0,4.6,1.4,Iris-versicolor
1,740.1087099,2.6,4.0,1.2,Iris-versicolor
1,656.0993813,2.3,3.3,1.0,Iris-versicolor
1,755.0129141,2.7,4.2,1.3,Iris-versicolor
1,418.9978869,3.0,4.2,1.2,Iris-versicolor
1,471.8135294,2.9,4.2,1.3,Iris-versicolor
1,485.1026458,2.9,4.3,1.3,Iris-versicolor
1,613.8737446,2.5,3.0,1.1,Iris-versicolor
1,440.8337404,2.8,4.1,1.3,Iris-versicolor
1,619.9584724,3.3,6.0,2.5,Iris-virginica
1,530.3040552,2.7,5.1,1.9,Iris-virginica
1,455.6058765,3.0,5.9,2.1,Iris-virginica
1,572.8016018,2.9,5.6,1.8,Iris-virginica
1,636.7524368,3.0,5.8,2.2,Iris-virginica
1,604.1144233,3.0,6.6,2.1,Iris-virginica
1,365.8032415,2.5,4.5,1.7,Iris-virginica
1,488.4888558,2.9,6.3,1.8,Iris-virginica
1,374.7201638,2.5,5.8,1.8,Iris-virginica
1,536.606993,3.6,6.1,2.5,Iris-virginica
1,437.0139693,3.2,5.1,2.0,Iris-virginica
1,464.3323636,2.7,5.3,1.9,Iris-virginica
1,984.0454912,3.0,5.5,2.1,Iris-virginica
1,507.1433962,2.5,5.0,2.0,Iris-virginica
1,465.1014658,2.8,5.1,2.4,Iris-virginica
1,531.3732054,3.2,5.3,2.3,Iris-virginica
1,419.9536962,3.0,5.5,1.8,Iris-virginica
1,457.5698723,3.8,6.7,2.2,Iris-virginica
1,424.472024,2.6,6.9,2.3,Iris-virginica
1,457.5464724,2.2,5.0,1.5,Iris-virginica
1,588.0092142,3.2,5.7,2.3,Iris-virginica
1,559.2667826,2.8,4.9,2.0,Iris-virginica
1,424.7637094,2.8,6.7,2.0,Iris-virginica
1,612.665318,2.7,4.9,1.8,Iris-virginica
1,480.7789636,3.3,5.7,2.1,Iris-virginica
1,469.2765081,3.2,6.0,1.8,Iris-virginica
1,660.3641751,2.8,4.8,1.8,Iris-virginica
1,400.4139594,3.0,4.9,1.8,Iris-virginica
1,575.6823646,2.8,5.6,2.1,Iris-virginica
1,514.4361539,3.0,5.8,1.6,Iris-virginica
1,515.3952494,2.8,6.1,1.9,Iris-virginica
1,997.2919406,3.8,6.4,2.0,Iris-virginica
1,675.0983445,2.8,5.6,2.2,Iris-virginica
1,641.5097389,2.8,5.1,1.5,Iris-virginica
1,719.5058781,2.6,5.6,1.4,Iris-virginica
1,450.8275297,3.0,6.1,2.3,Iris-virginica
1,457.9252352,3.4,5.6,2.4,Iris-virginica
1,440.9818348,3.1,5.5,1.8,Iris-virginica
1,451.0060488,3.0,4.8,1.8,Iris-virginica
1,602.3077749,3.1,5.4,2.1,Iris-virginica
1,621.0126864,3.1,5.6,2.4,Iris-virginica
1,684.602958,3.1,5.1,2.3,Iris-virginica
1,468.9040381,2.7,5.1,1.9,Iris-virginica
1,442.7453136,3.2,5.9,2.3,Iris-virginica
1,440.4743232,3.3,5.7,2.5,Iris-virginica
1,655.3989662,3.0,5.2,2.3,Iris-virginica
1,458.8440074,2.5,5.0,1.9,Iris-virginica
1,699.6182638,3.0,5.2,2.0,Iris-virginica
1,518.7876139,3.4,5.4,2.3,Iris-virginica
1,360.815292,3.0,5.1,1.8,Iris-virginica
